formatted_index,formatted_id,cleaned_text,Annotation,oh_label,users,hashtags,links
5767-4933-6190-5250-56,5767-4933-6190-5250-56,Muslim mob violence against Hindus in Bangladesh continues in 2014.,racism,1,@AAlwuhaib1977,#Islam,http://t.co/C1JBWJwuRc
5678-4332-0338-1249-92,5678-4332-0338-1249-92,Islamophobia is like the idea of Naziphobia. Islam is a religion of hate and it must be outlawed.,racism,1,@jncatron @isra_jourisra @AMPalestine,,
5646-0409-0752-0609-92,5646-0409-0752-0609-92,Islam invaded and conquered 2/3 of Christiandom before any Christian crusades in response. The writer is a liar.,racism,1,@HuffPostRelig,,
5633-6995-6734-0300-16,5633-6995-6734-0300-16,"Do you approve of your pedophile prophet raping a 9 year old girl, like it says in 7 hadith?",racism,1,@semzyxx,,
5669-8397-0571-5790-08,5669-8397-0571-5790-08,Problem with vile Muslims is that they try to rationalize &amp; excuse the crimes of Islam rather than get rid of them.,racism,1,@watan71969 @geeky_zekey,,
5573-7972-4544-9749-76,5573-7972-4544-9749-76,You are following the religion of ignorance with an illiterate prophet and you want to talk about spelling? LOL.,racism,1,@Ammaawah @jm111t,,
5627-1978-9815-4560-00,5627-1978-9815-4560-00,True. Stoning and beheading were much more to Mohammed's taste.,racism,1,@hahellyer,,
5642-7763-0275-3059-84,5642-7763-0275-3059-84,Have they told the tribe yet that their daughters would become whores for sexual jihad?,racism,1,@abunaseeha2,,
5641-7904-1981-1859-84,5641-7904-1981-1859-84,"Furthermore, telling people that they should be tolerant of a wholly intolerant religion is idiotic.",racism,1,@MaDaSaHaTtEr_17 @buttercupashby,,
5743-1314-9769-2490-24,5743-1314-9769-2490-24,Quran 8.12 would be a good example of terrorism.,racism,1,@ummsuhaym @logicalmind11,,http://t.co/vonYOAtpfk
5518-1201-6768-1720-32,5518-1201-6768-1720-32,RT : I've been called an Islamophobe for saying Islam needs a theological reformation. Now the head of Egypt agrees:,racism,1,@IAMMGraham,,http://t.co…
5552-2075-2186-6099-84,5552-2075-2186-6099-84,You are basically claiming that a religion that teaches hatred and murder has nothing to do with hatred and murder. Dumb!,racism,1,@reza_rahman,,
5558-2526-7801-7269-76,5558-2526-7801-7269-76,"I am better. I have no problem with Hinduism, Christianity, Tao, Judaism, Buddhism or atheism. But Islam hates all non-Muslims.",racism,1,@NNdabbour64,,
5644-6602-2527-1480-32,5644-6602-2527-1480-32,"Notice how most of the contributions are from Persians, not Arabs, and are despite Islam.",racism,1,@Vandaliser @sajid_fairooz @IsraeliRegime,,
5767-5211-2379-4370-56,5767-5211-2379-4370-56,I think your Muslim friends are raping girls around the world.,racism,1,@MaxBlumenthal @Ajzionts,,http://t.co/liSKP9U8Uq
5745-8790-9107-3760-00,5745-8790-9107-3760-00,Muslim bigots constantly create confrontations and then whine to the world about results.,racism,1,@RaniaKhalek @MaxBlumenthal @NickKristof,,
5747-7873-0125-5089-92,5747-7873-0125-5089-92,"Fuck . Mohammed was a pedophile, murderer, bigot, sexist, rapist, slave trader, caravan robber, and liar.",racism,1,@freemedialive,#Islam,
5674-7704-2166-2640-00,5674-7704-2166-2640-00,The parallel between the behavior of terrorist organizations and the prophet Mohammed is something I've preached for 15 year,racism,1,@RichardDawkins,,
5688-3272-2547-8389-76,5688-3272-2547-8389-76,"We don't support tyrants, Islam produces nothing but tyrants.  All the Caliphs and Sultans were tyrants.",racism,1,@DianH4 @ExposeFalsehood,,
5755-0904-3445-3009-92,5755-0904-3445-3009-92,"Yes, I'm hoping we can get the Muslims to stop oppressing Jews and Christians and Hindus and Buddhists.",racism,1,@CherguiaMbark,,
5659-0713-8501-8040-32,5659-0713-8501-8040-32,The ground drone will be bullet proof and carry small rockets to intercept RPGs.,racism,1,@DawlatnaMansura,,
5646-3164-4879-8469-76,5646-3164-4879-8469-76,"These days might and honor come from science, technology, humanitarianism. Which is why Muslims won't get any.",racism,1,@Rayandawlah_ @_Jihad10,,
5648-8481-3375-4960-00,5648-8481-3375-4960-00,"And while Christianity moved past it's barbarity, Islam keeps returning to it.",racism,1,@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime,,
5756-5063-0536-0359-68,5756-5063-0536-0359-68,"No, the Muslims worldwide are the problem. Israel is protecting itself against the same Muslim persecution that is global.",racism,1,@congressman_aly,,
5670-3460-7468-4170-24,5670-3460-7468-4170-24,"I'm talking total extermination, bragged about right there in the book.",racism,1,@edgeofthesandbx @batchelorshow @FearDept,,
5744-2234-3956-5699-84,5744-2234-3956-5699-84,"If someone is going to die getting ISIS out of , it may as well be the Shia militia.  That is all good.",racism,1,,#Tikrit #Islam #Daesh,
5749-3390-6824-1269-76,5749-3390-6824-1269-76,I don't trust ISIS or the Shia militia. Both want to force their sick religion on people.,racism,1,@BinMaymun @stevoiraq,#Tikrit,
5516-5962-7872-4160-00,5516-5962-7872-4160-00,I love how the Islamofascists recruit 14 and 15 year old jihadis and then talk about minors in reference to 17 year olds.,racism,1,@lauracdean,,
5678-4303-3418-3219-84,5678-4303-3418-3219-84,Wrong. They were connected to the Muslim Brotherhood and they were anti Semitic bigots.,racism,1,@jncatron @isra_jourisra,,
5523-1330-4358-8469-76,5523-1330-4358-8469-76,The command to fear Allah is all through the Quran.  The ritual of groveling on the ground is one of fear. No personal relationship,racism,1,@Nigzzzk,,
5673-6520-6615-9329-92,5673-6520-6615-9329-92,Erdogan is a fascist Islamist scum bag. Women's employment has decreased 30% under him. Violence against women has increased.,racism,1,@ZamiraTwitt,,
5522-5807-2148-5820-16,5522-5807-2148-5820-16,"Because they breed like rats, kill non Muslims, and force religion on people by the sword.",racism,1,@ummayman90,,
5530-1100-6297-7390-08,5530-1100-6297-7390-08,Nobody cares what his honor means to you fools.  We have no obligation to honor the slave trader and caravan robber.,racism,1,@anjemchoudary,,
5740-1101-5811-1050-24,5740-1101-5811-1050-24,"That's because it's all about the barbarity of Islam, not the beards.",racism,1,@QrysBinThynkn,,
5551-9655-9076-6549-76,5551-9655-9076-6549-76,"Name the last person the KKK killed, and you can find 100,000 that have since been killed by Islamists.",racism,1,@SumbelinaZ @IronmanL1 @Hatewatch,,
5641-2692-5430-3539-84,5641-2692-5430-3539-84,RT :  using retarded kids as suicide bombers is nothing new. When I was in Ramadi they rolled one in a wheelchair at us. Ha…,racism,1,@PatDollard,#ISIS,
5559-0691-9169-1429-76,5559-0691-9169-1429-76,Islam is about as perfect as Nazism.,racism,1,@KamelNasrEldien,,
5527-1479-3791-2709-76,5527-1479-3791-2709-76,Why would I read lies about what Islam is when I can see what it is in the Quran and Hadiths?,racism,1,@hu_4u,,
5530-7621-1878-8709-76,5530-7621-1878-8709-76,RT :  Same MSM that insists Islam has no connection w/terror censors cartoons cuz they fear being murdered. S…,racism,1,@SmokeNMirrors71 @AceofSpadesHQ,,
5702-9576-8868-8849-92,5702-9576-8868-8849-92,But the pedophile prophet Mohammed only cared about his pecker and his perverted desires.,racism,1,@DianH4 @ExposeFalsehood,,
5750-4320-5231-6120-32,5750-4320-5231-6120-32,Every Muslim convert becomes Muslim propaganda.,racism,1,@CherguiaMbark,,
5685-4878-8559-6789-76,5685-4878-8559-6789-76,"Chapel Hill is not surprising. What is surprising is that given the level of Islamic terrorism, there is so little.",racism,1,@omarsuleiman504 @asimb,,
5663-9665-3679-0300-16,5663-9665-3679-0300-16,"And now, every Jihadi group wants to reinstate slavery in the present because the Quran approves it and Mohammed practiced.",racism,1,@discerningmumin,,
5650-1202-4225-0629-76,5650-1202-4225-0629-76,Wheras Islam simply declared war on all humanity 1400 years ago and has never stopped. Time to return the favor,racism,1,@nebula_chain_ @PaulStephen8,,
5594-1826-9149-2990-08,5594-1826-9149-2990-08,You can't even imagine how I think because I cannot imagine how anyone would take such a vile religion as Islam.,racism,1,@LifeInKhilafah,,
5646-3660-1397-9610-24,5646-3660-1397-9610-24,Muslims have these delusions about producing Algebra. But many others beat them to it.,racism,1,@_Jihad10 @Rayandawlah_,,http://t.co/AsMiQZFvAG
5592-2394-0115-9930-24,5592-2394-0115-9930-24,"RT : Theresa May today pleaded with  not to leave. Jews build wealth, Muslims take welfare. Simple economics.",racism,1,@Greg389,#Jews,http://t.co/lvaN…
5685-4654-3055-1589-76,5685-4654-3055-1589-76,"And not only did Mohammed burn them, the crucified, stoned and beheaded people.",racism,1,@KellyTurner99 @buellerishere @isra_jourisra @fei989,,
5749-1272-1524-6830-08,5749-1272-1524-6830-08,"Horseshit. Mohammed led 17 major military expeditions, owned 28 slaves, had 9 wives - one six years old.",racism,1,@biebervalue @greenlinerzjm,,
5679-3951-2812-2449-92,5679-3951-2812-2449-92,"Saudi cleric: ""sun revolves around the earth."" Now you can understand why madrassa graduates have no skill but Jihad.",racism,1,,#Islam #science,
5761-1355-8032-8920-32,5761-1355-8032-8920-32,About 90% of Iraqi civilians are killed by Muslims.,racism,1,@mutaSawwif,,
