formatted_id,cleaned_text,Annotation,oh_label,users,hashtags,links
5767-4933-6190-5250-56,muslim mob violence against hindus in bangladesh continues in 2014.,racism,1.0,@AAlwuhaib1977,#Islam,http://t.co/C1JBWJwuRc
5678-4332-0338-1249-92,islamophobia is like the idea of naziphobia. islam is a religion of hate and it must be outlawed.,racism,1.0,@jncatron @isra_jourisra @AMPalestine,,
5646-0409-0752-0609-92,islam invaded and conquered 2/3 of christiandom before any christian crusades in response. the writer is a liar.,racism,1.0,@HuffPostRelig,,
5633-6995-6734-0300-16,"do you approve of your pedophile prophet raping a 9 year old girl, like it says in 7 hadith?",racism,1.0,@semzyxx,,
5669-8397-0571-5790-08,problem with vile muslims is that they try to rationalize &amp; excuse the crimes of islam rather than get rid of them.,racism,1.0,@watan71969 @geeky_zekey,,
5573-7972-4544-9749-76,you are following the religion of ignorance with an illiterate prophet and you want to talk about spelling? lol.,racism,1.0,@Ammaawah @jm111t,,
5627-1978-9815-4560-00,true. stoning and beheading were much more to mohammed's taste.,racism,1.0,@hahellyer,,
5642-7763-0275-3059-84,have they told the tribe yet that their daughters would become whores for sexual jihad?,racism,1.0,@abunaseeha2,,
5641-7904-1981-1859-84,"furthermore, telling people that they should be tolerant of a wholly intolerant religion is idiotic.",racism,1.0,@MaDaSaHaTtEr_17 @buttercupashby,,
5743-1314-9769-2490-24,quran 8.12 would be a good example of terrorism.,racism,1.0,@ummsuhaym @logicalmind11,,http://t.co/vonYOAtpfk
5518-1201-6768-1720-32,rt : i've been called an islamophobe for saying islam needs a theological reformation. now the head of egypt agrees:,racism,1.0,@IAMMGraham,,http://t.co…
5552-2075-2186-6099-84,you are basically claiming that a religion that teaches hatred and murder has nothing to do with hatred and murder. dumb!,racism,1.0,@reza_rahman,,
5558-2526-7801-7269-76,"i am better. i have no problem with hinduism, christianity, tao, judaism, buddhism or atheism. but islam hates all non-muslims.",racism,1.0,@NNdabbour64,,
5644-6602-2527-1480-32,"notice how most of the contributions are from persians, not arabs, and are despite islam.",racism,1.0,@Vandaliser @sajid_fairooz @IsraeliRegime,,
5767-5211-2379-4370-56,i think your muslim friends are raping girls around the world.,racism,1.0,@MaxBlumenthal @Ajzionts,,http://t.co/liSKP9U8Uq
5745-8790-9107-3760-00,muslim bigots constantly create confrontations and then whine to the world about results.,racism,1.0,@RaniaKhalek @MaxBlumenthal @NickKristof,,
5747-7873-0125-5089-92,"fuck . mohammed was a pedophile, murderer, bigot, sexist, rapist, slave trader, caravan robber, and liar.",racism,1.0,@freemedialive,#Islam,
5674-7704-2166-2640-00,the parallel between the behavior of terrorist organizations and the prophet mohammed is something i've preached for 15 year,racism,1.0,@RichardDawkins,,
5688-3272-2547-8389-76,"we don't support tyrants, islam produces nothing but tyrants.  all the caliphs and sultans were tyrants.",racism,1.0,@DianH4 @ExposeFalsehood,,
5755-0904-3445-3009-92,"yes, i'm hoping we can get the muslims to stop oppressing jews and christians and hindus and buddhists.",racism,1.0,@CherguiaMbark,,
5659-0713-8501-8040-32,the ground drone will be bullet proof and carry small rockets to intercept rpgs.,racism,1.0,@DawlatnaMansura,,
5646-3164-4879-8469-76,"these days might and honor come from science, technology, humanitarianism. which is why muslims won't get any.",racism,1.0,@Rayandawlah_ @_Jihad10,,
5648-8481-3375-4960-00,"and while christianity moved past it's barbarity, islam keeps returning to it.",racism,1.0,@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime,,
5756-5063-0536-0359-68,"no, the muslims worldwide are the problem. israel is protecting itself against the same muslim persecution that is global.",racism,1.0,@congressman_aly,,
5670-3460-7468-4170-24,"i'm talking total extermination, bragged about right there in the book.",racism,1.0,@edgeofthesandbx @batchelorshow @FearDept,,
5744-2234-3956-5699-84,"if someone is going to die getting isis out of , it may as well be the shia militia.  that is all good.",racism,1.0,,#Tikrit #Islam #Daesh,
5749-3390-6824-1269-76,i don't trust isis or the shia militia. both want to force their sick religion on people.,racism,1.0,@BinMaymun @stevoiraq,#Tikrit,
5516-5962-7872-4160-00,i love how the islamofascists recruit 14 and 15 year old jihadis and then talk about minors in reference to 17 year olds.,racism,1.0,@lauracdean,,
5678-4303-3418-3219-84,wrong. they were connected to the muslim brotherhood and they were anti semitic bigots.,racism,1.0,@jncatron @isra_jourisra,,
5523-1330-4358-8469-76,the command to fear allah is all through the quran.  the ritual of groveling on the ground is one of fear. no personal relationship,racism,1.0,@Nigzzzk,,
5673-6520-6615-9329-92,erdogan is a fascist islamist scum bag. women's employment has decreased 30% under him. violence against women has increased.,racism,1.0,@ZamiraTwitt,,
5522-5807-2148-5820-16,"because they breed like rats, kill non muslims, and force religion on people by the sword.",racism,1.0,@ummayman90,,
5530-1100-6297-7390-08,nobody cares what his honor means to you fools.  we have no obligation to honor the slave trader and caravan robber.,racism,1.0,@anjemchoudary,,
5740-1101-5811-1050-24,"that's because it's all about the barbarity of islam, not the beards.",racism,1.0,@QrysBinThynkn,,
5551-9655-9076-6549-76,"name the last person the kkk killed, and you can find 100,000 that have since been killed by islamists.",racism,1.0,@SumbelinaZ @IronmanL1 @Hatewatch,,
5641-2692-5430-3539-84,rt :  using retarded kids as suicide bombers is nothing new. when i was in ramadi they rolled one in a wheelchair at us. ha…,racism,1.0,@PatDollard,#ISIS,
5559-0691-9169-1429-76,islam is about as perfect as nazism.,racism,1.0,@KamelNasrEldien,,
5527-1479-3791-2709-76,why would i read lies about what islam is when i can see what it is in the quran and hadiths?,racism,1.0,@hu_4u,,
5530-7621-1878-8709-76,rt :  same msm that insists islam has no connection w/terror censors cartoons cuz they fear being murdered. s…,racism,1.0,@SmokeNMirrors71 @AceofSpadesHQ,,
5702-9576-8868-8849-92,but the pedophile prophet mohammed only cared about his pecker and his perverted desires.,racism,1.0,@DianH4 @ExposeFalsehood,,
5750-4320-5231-6120-32,every muslim convert becomes muslim propaganda.,racism,1.0,@CherguiaMbark,,
5685-4878-8559-6789-76,"chapel hill is not surprising. what is surprising is that given the level of islamic terrorism, there is so little.",racism,1.0,@omarsuleiman504 @asimb,,
5663-9665-3679-0300-16,"and now, every jihadi group wants to reinstate slavery in the present because the quran approves it and mohammed practiced.",racism,1.0,@discerningmumin,,
5650-1202-4225-0629-76,wheras islam simply declared war on all humanity 1400 years ago and has never stopped. time to return the favor,racism,1.0,@nebula_chain_ @PaulStephen8,,
5594-1826-9149-2990-08,you can't even imagine how i think because i cannot imagine how anyone would take such a vile religion as islam.,racism,1.0,@LifeInKhilafah,,
5646-3660-1397-9610-24,muslims have these delusions about producing algebra. but many others beat them to it.,racism,1.0,@_Jihad10 @Rayandawlah_,,http://t.co/AsMiQZFvAG
