formatted_index,formatted_id,cleaned_text,Annotation,oh_label,users,hashtags,links
5351-9862-7292-2540-16,5351-9862-7292-2540-16,RT :  : I'm not sexist but fuck if you're a woman and you can't Cook get your shit together.,sexism,1.0,@BeepsS @senna1 @BeepsS,,
4430-3302-4528-0110-08,4430-3302-4528-0110-08,"No, you don't. : I thought of a really funny joke and I promise I'm not sexist but I have to say it.",sexism,1.0,@Shut_Up_Jeff,,
5695-7728-6308-9870-08,5695-7728-6308-9870-08,RT :  You might like this,sexism,1.0,@Wateronatrain @MT8_9,#patriarchy,http://t.co/c9m2pFmFJ3
5684-3616-8649-3429-76,5684-3616-8649-3429-76,"RT : But yea, apparently  women are sock puppets....lol.",sexism,1.0,@MetalBarbieDoll,#GamerGate,http://t.co/4WouDly45a
4269-6640-5339-0300-16,4269-6640-5339-0300-16,:D  Dudes who go to culinary school:    :),sexism,1.0,@nkrause11,#why #findawife #notsexist,
5755-9637-1610-2270-08,5755-9637-1610-2270-08,"If  make it through, I'll... I don't know what I will do.",sexism,1.0,,#cuntandandre #mkr,
5650-2745-3643-4110-08,5650-2745-3643-4110-08,"RT :  ""...best not to engage with unpleasant people."" She can say that again.   …",sexism,1.0,@MaximumTrent @MT8_9,#FeminismIsAwful #WomenAgainstFeminism #ga,
4261-0594-0383-7639-68,4261-0594-0383-7639-68,"RT  I'm not sexist, but Feminists make me sick in how they go about fighting for equality. Sorry.",sexism,1.0,@kohfuckyourself,,
4605-2572-7356-4490-24,4605-2572-7356-4490-24,RT  I'm not sexist but some things shouldn't be said by females,sexism,1.0,@fearnoMan22,,
5694-0016-3535-6060-16,5694-0016-3535-6060-16,RT :,sexism,1.0,@mcRelyt,#FeministsAreUgly,http://t.co/OqRhk26Rrf
5463-6211-2600-0600-32,5463-6211-2600-0600-32,RT  most women r physically weaker than men.,sexism,1.0,@EvilSunbro,#notsexist #sexhonest,
5755-9602-3864-6309-76,5755-9602-3864-6309-76,Kat I'd love to slap your face with a pork cutlet,sexism,1.0,,#MKR,
5755-9738-1699-2689-92,5755-9738-1699-2689-92,Kat might as well go home now since she has no chance of beating the other teams,sexism,1.0,,#mkr,
5428-0754-8793-8520-32,5428-0754-8793-8520-32,The world is enriched by your wisdom.  I'm not sexist but I make sexist comments because it makes me LOL.,sexism,1.0,@moe_mixed_kid,,
4261-0619-3057-0419-84,4261-0619-3057-0419-84,I don't know why buy I find a hearty handshake between two women to be very awkward.,sexism,1.0,@LifeOfStrife,#bizarresexism #notsexist,
5669-8497-9595-6609-92,5669-8497-9595-6609-92,...I am attacking feminist's character.  No one else's.,sexism,1.0,@comattwow @ChubsSays,,
5678-9310-0066-1360-00,5678-9310-0066-1360-00,Just my guess...it's now in my tweets as proof if it comes true.  I knew he'd rig the 2013 draft so the Avs could get Seth Jones.,sexism,1.0,@shaner38,,
5723-3193-8779-8000-00,5723-3193-8779-8000-00,if the vapid duo of conceit get through tonight I'm not watching again,sexism,1.0,@mykitchenrules,#suicideblondes #mkr,
4723-8629-0517-0209-92,4723-8629-0517-0209-92,RT :  Im not sexist but for some reason every time a woman commentator comes on and gives her two cents about the... h…,sexism,1.0,@TerpConfessions,#8161,
5723-2926-0918-0469-76,5723-2926-0918-0469-76,Lol bitch please...,sexism,1.0,,#mkr,
5677-6134-7866-5420-16,5677-6134-7866-5420-16,"RT : Scientist lands a robot on a comet, feminists crucify him for his shirt. Biden licks ear of someone's wife - Silence",sexism,1.0,@redsteeze,,http://…
4789-9680-6613-7329-92,4789-9680-6613-7329-92,RT   I'm not sexist but i just don't believe in women being president,sexism,1.0,@Spainballin44 @B_Diddy010,,
4626-3574-8710-0350-08,4626-3574-8710-0350-08,"No one cares what u think. : Call me sexist, but heels &gt; no heels. Sorry ladies. Also nasty nails = vomit. Look clean at least.",sexism,1.0,@GND_BDURHAM,,
5540-6805-0995-9950-08,5540-6805-0995-9950-08,RT  I'm not sexist but some foods are gender specific please. I don't want a woman mixing my shawarma.,sexism,1.0,@__gershom,,
5759-5207-2027-1850-24,5759-5207-2027-1850-24,""": How long until Kat heats up her crack pipe over the BBQ? "" think she already has, crazy bitch",sexism,1.0,@Mr_Fanta_Pants,#MKR,
